id,fact
1,The universe is about 13.8 billion years old.
2,Light from the Sun takes about 8 minutes to reach Earth.
3,There are likely more than 2 trillion galaxies in the observable universe.
4,A single galaxy can contain billions or even trillions of stars.
5,Black holes have gravity so strong that not even light can escape them.
6,The observable universe is about 93 billion light-years in diameter.
7,Neutron stars are so dense that a teaspoon of their material would weigh billions of tons on Earth.
8,Dark matter makes up about 27% of the universe.
9,Dark energy makes up about 68% of the universe and is driving its accelerated expansion.
10,The Milky Way galaxy is estimated to contain between 100 and 400 billion stars.
